2023-05-21 10:33:59 {'type': 'Interactive-Diagnostics'}  Running report Roll report sysproduction.reporting.roll_report.roll_report email {'instrument_code': 'ALL'}
2023-05-21 10:35:31 {'type': 'Interactive-Diagnostics'}  Running report Market monitor report sysproduction.reporting.market_monitor_report.market_monitor_report email {'start_date': arg not supplied, 'end_date': arg not supplied}
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AEX_mini', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AUDJPY', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from AUDJPY/20230600!
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AUDJPY', 'contract_date': '20230600'} [Warning]  when getting trading hours from AUDJPY/20230600!
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AUDJPY', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'USIRS5ERIS', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from USIRS5ERIS/20230600!
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'USIRS5ERIS', 'contract_date': '20230600'} [Warning]  when getting trading hours from USIRS5ERIS/20230600!
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'USIRS5ERIS', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from GOLD/20230800!
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD', 'contract_date': '20230800'} [Warning]  when getting trading hours from GOLD/20230800!
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD', 'contract_date': '20230800'}  No IB expiry date found
